"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/111356614.webp?k=0299ca322d254a5584d9c231a9b86bb672091edf67ce973d2cae8788a5e874f6&o=","Canadas Best Value Inn Chinook Station","Queen Room - Non-Smoking","Calgary","2 nights, 2 adults","CAD 108","4.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/444180172.webp?k=2d8fb8cf44d5ded85e9b372df6ae31fe6f257a44e394e428d8ad9642f7ca689b&o=","The Dorian, Autograph Collection","King Room","Downtown Calgary, Calgary","2 nights, 2 adults","CAD 688","9.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/320766190.webp?k=37855ab26edda90fabbb23b3739db49b5c762346240684d9bdd3ca90bf4f61ba&o=","Royal Hotel Calgary, Trademark Collection by Wyndham","Queen Room - Non-Smoking","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 245","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/442678935.webp?k=3ca3b550d3c019acf64abe868a64114de2b35bdc40e9f5fc000f7398dd8b2d7b&o=","Residence Inn by Marriott Calgary Airport","Large King Studio with Sofa Bed","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 478","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/574065966.webp?k=bdcc9915b4f7bbf192df4db2fb53f26bf33cda3499a22be5a278a17db236a064&o=","Executive Residency by Best Western Calgary City View North","King Room - Non-Pet Friendly","Calgary","2 nights, 2 adults","CAD 258","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/521209142.webp?k=12f05c39005034c1f9813408867a393ca473eddc23256cb62cb316cdf741913b&o=","Country Inn & Suites by Radisson, Calgary-Northeast","King Room - Non-Smoking","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 257","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/275018726.webp?k=1173526f2874fbf946085e1ca43465122c752b08554f5a028d9d699fb2627f96&o=","Holiday Inn Express & Suites - Calgary Airport Trail NE, an IHG Hotel","Standard Room with Two Queen Beds","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 254","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/275643570.webp?k=17844156d72471e5cfd31dcf8f5b8251deabc6f7c2abc9bd94c28031fcb1f0fc&o=","Super 8 by Wyndham Macleod Trail Calgary","Queen Studio - Non-Smoking","Southwest Calgary, Calgary","2 nights, 2 adults","CAD 268","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/247185043.webp?k=453e8f36876d905fa66baf0398e9dd6363628cf5a4f127081675d961515c6b56&o=","Holiday Inn Calgary Airport, an IHG Hotel","Queen Suite with Two Queen Beds - Non-Smoking","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 270","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/474932616.webp?k=4817e7c430230a072920e80b3cf9dca663fb8278fd116bab51ba16d305dc4574&o=","DoubleTree by Hilton Calgary North","King Room","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 280","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/485199806.webp?k=4710968b74b03de7e76b726283974ea5389276af5866ad9ad31cf0b5fe4ac332&o=","Hotel 11, MOD A Sonesta Collection","King Room","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 283","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/555800820.webp?k=e9339f2aae05b1f1ab1379d975dfb975d632403002f26e330b435e87be847b14&o=","Amenida Residences, Calgary","Queen Room","Calgary","2 nights, 2 adults","CAD 232","5.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/247953860.webp?k=3812a362992567ffde7aab7fc97c3aafce1376ff816e95878bbdbebcf46e3ac4&o=","Staybridge Suites - Calgary Airport, an IHG Hotel","Studio Queen Suite - Non-Smoking","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 283","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/243632940.webp?k=0b1a8fc7f3795032e305358925dbdc04e97796ac43ccfd13c4e9457a186a6a0b&o=","Best Western Premier Calgary Plaza Hotel & Conference Centre","King Room - Non-Smoking","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 318","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/400055839.webp?k=e3bded7b35f7dc0156240b1cb67ac3cb00fcc813814b0ce71a5b6aff33db7875&o=","Econo Lodge Motel Village","Queen Room - Non-Smoking","University of Calgary District , Calgary","2 nights, 2 adults","CAD 198","6.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/61243321.webp?k=bae11723700a8d274adba4fc6786528fb855f8f572e6c8594ea9864d0ff36f73&o=","Hotel Clique Calgary Airport","Deluxe King Room","Northeast Calgary, Calgary","2 nights, 2 adults","CAD 308","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/295820402.webp?k=cfbf2b2f6cca87e84203cbcf4f5c3b79cb1e69589249cfb4a4a4bd8967bbe180&o=","Carriage House Hotel and Conference Centre","Standard Two Queen Room","Calgary","2 nights, 2 adults","CAD 292","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/252209691.webp?k=4c282e58b325b7119ba36ca8f5ebe532d129f712136a542637d1e903414d3104&o=","SAIT Residence & Conference Centre - Calgary","Two Bedroom Suite","Calgary","2 nights, 2 adults","CAD 196","5.1"
