"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/245760008.webp?k=e8949db866ebdec06b068145da547676ed67b33bdb455d34c49b293860ce3566&o=","Holiday Inn Express & Suites - West Edmonton-Mall Area, an IHG Hotel","Standard Queen Room with Two Queen Beds","Edmonton","2 nights, 2 adults","CAD 262","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/502055284.webp?k=d3291520130e6feb495d2e5c08302f9d66ba7596b993ec6d56f1c7ac2de5d649&o=","Delta Hotels by Marriott Edmonton South Conference Centre","Queen Room","Southwest Edmonton , Edmonton","2 nights, 2 adults","CAD 359","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/230716947.webp?k=b8a92d3e47465cfe2abc1fe47c7a141595b833956180afd4f80a65c31e3e8a48&o=","Holiday Inn Express Edmonton Downtown, an IHG Hotel","Standard King Room","Downtown Edmonton, Edmonton","2 nights, 2 adults","CAD 206","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/491379582.webp?k=b6f290978695269adfb6f03d52ea79ae87263772303eb3a48d5dbbd3f20e8ee5&o=","Delta Hotels by Marriott Edmonton Centre Suites","Queen Room","Downtown Edmonton, Edmonton","2 nights, 2 adults","CAD 512","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/520964680.webp?k=9e6ec1f5f4cbecc05b781f572880622c28e34028848c90fd0a00989f9587b7be&o=","Holiday Inn Express Hotel & Suites-Edmonton South, an IHG Hotel","Standard Queen Room","Southwest Edmonton , Edmonton","2 nights, 2 adults","CAD 250","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/470730999.webp?k=add4211e63d980ff645cc46a4ea667ad1180e8a6ee6b81b43dbc82b836583bf1&o=","Comfort Inn & Suites","Queen Room - Non-Smoking","Downtown Edmonton, Edmonton","2 nights, 2 adults","CAD 204","6.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/46918622.webp?k=259b04231fa7e28c77cb2a1e7ff2913cb2135e5a57c931e5ba848b41ef772855&o=","Chateau Louis Hotel & Conference Centre","Queen Room","Edmonton","2 nights, 2 adults","CAD 252","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/485737367.webp?k=37b20921dffa2c7b68575e30293a0cf29628815b79dbe6c50fb80eb2b991ab8b&o=","DoubleTree by Hilton Edmonton Downtown","Queen Room with Two Queen Beds and Sofa Bed","Edmonton","2 nights, 2 adults","CAD 318","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/480721952.webp?k=44d77cbbddda36103d03ef6a605aa02cbf7c0acd3fb462854eae4b63e0e51f1e&o=","Holiday Inn Express & Suites - Edmonton SW – Windermere, an IHG Hotel","King Room - Mobility Access Roll in Shower/Non-Smoking","Southwest Edmonton , Edmonton","2 nights, 2 adults","CAD 230","8.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/224405163.webp?k=65ce7957b1f86487bdd82ea2fd8bd04de430a49b4c1c546512a7d94832c41b65&o=","Metterra Hotel on Whyte","Double Room with Two Double Beds","Whyte ave, Edmonton","2 nights, 2 adults","CAD 348","8.2"
