"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/134933672.webp?k=0127d6d4c5cf3f9356fe4fcbeeccc20bd0c8add34085e70a5fb36f3ed3819335&o=","University of King's College","Double Room with Shared Bathroom","South End, Halifax","2 nights, 2 adults","CAD 287","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/485738346.webp?k=fbcedab9315387522082aa2e52f6ec6d82c52c292888ecb410d9183bdba92d4b&o=","Hampton Inn by Hilton Halifax Downtown","Queen Room with Two Queen Beds - Non-Smoking","Downtown Halifax, Halifax","2 nights, 2 adults","CAD 385","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/88452647.webp?k=2b464aa3bc6c8a1b8d64d7bb40ab3964a76a68d3188c545ceb6272568476bb24&o=","The Barrington Hotel","Double Room with City View","Downtown Halifax, Halifax","2 nights, 2 adults","CAD 321","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/88446385.webp?k=c13c9d790bf4746571efac7aebada979a7782882dcdca25d57348cfd12e6f537&o=","Hotel Halifax","Double Room with Two Double Beds","Downtown Halifax, Halifax","2 nights, 2 adults","CAD 329","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/465581320.webp?k=c586a71a3a2bff58ea1a60e40198b5352d3005cba6f990299b12c4c321776f6d&o=","Four Points by Sheraton Halifax","Queen Room with Two Queen Beds","Downtown Halifax, Halifax","2 nights, 2 adults","CAD 384","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/538666339.webp?k=b64937b901afc4ce97ef2db6f8b89383641852a982ec4a397371d3196a0fe03d&o=","Moxy Halifax Downtown","Queen Room","North End, Halifax","2 nights, 2 adults","CAD 356","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/167240052.webp?k=d07534288283f7ef8fb63fa4bf1b5ca394007167fcb393893b1f7d9fa8d115b8&o=","Dalhousie University","Gerard Hall Double Room with Shared Bathroom","South End, Halifax","2 nights, 2 adults","CAD 241","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/530494365.webp?k=b12e8758e7229508e5dae289bf7ebdf00dcbd67b82beaea474dec8c8575b56f4&o=","The Lord Nelson Hotel & Suites","Classic King Room","Downtown Halifax, Halifax","2 nights, 2 adults","CAD 427","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/67610274.webp?k=193974ea4a1e00fc6e8a267638d9dfd95f7e33340c247a6cf9a9c787edfec6af&o=","Saint Mary's University Conference Services & Summer Accommodations","Double Room with Shared Bathroom","South End, Halifax","2 nights, 2 adults","CAD 220","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/13983257.webp?k=c7a9fac97d77732a40bd0fd647fda5f1e5114739fdbe65a94fd0914ccc99700a&o=","Garden South Park Inn","Double Room","South End, Halifax","2 nights, 2 adults","CAD 398","8.0"
