"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/400788363.webp?k=3c38b3991a0131afaabf2f31b7f4fa378ef3d5501b572c68ac7dfb251087d8cc&o=","UBC Okanagan Campus","Double Room with Private Bathroom - Nechako building","Kelowna","2 nights, 2 adults","CAD 320","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/469217129.webp?k=c6cb096c21c77e160db6135f43e7a4b92c910941828347cfb1c494a241ea080e&o=","Delta Hotels by Marriott Grand Okanagan Resort","Queen Room with Two Queen Beds","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 838","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/247997297.webp?k=fd99e3f00a3979b21c19797badf7450b237667e9173cc2f21aac703b155dda37&o=","Holiday Inn Express & Suites Kelowna - East, an IHG Hotel","King Room - Mobility Access/Hearing Accessible","Rutland, Kelowna","2 nights, 2 adults","CAD 402","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/485738791.webp?k=dc9bcc2cabf3d60f094b7f024b131c25d74076ded3292ae80d0d084fb32cef84&o=","Hampton Inn & Suites Kelowna, British Columbia, Canada","Queen Room with Two Queen Beds","Kelowna","2 nights, 2 adults","CAD 475","8.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/139286596.webp?k=56e93c51c0498feb56b0d28c8540f8f31e33d1128bef3439c10ef0f583c5a201&o=","Ramada by Wyndham Kelowna Hotel & Conference Center","Queen Room with Two Queen Beds - Non-Smoking","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 403","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/106011381.webp?k=e27026f28eea1ccc70e1ae1b96e776f07c1749c7ab8f2b315a45015e1f0aa55d&o=","Dilworth Inn","Standard Queen Room","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 360","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/403862969.webp?k=b3bdfdaabd7870042ca1337615c3e6720af006c308042b6d2f02cdee74311fff&o=","Comfort Suites","King Suite with Sofa Bed","Rutland, Kelowna","2 nights, 2 adults","CAD 410","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/581311238.webp?k=77160c42cd71444b0fcff5cf376500b92d51916ef8c18c448acb51049b77d316&o=","Coast Capri Hotel","Coast Superior Room, One Queen Bed, Pool Level","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 476","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/298669216.webp?k=6a8c4b3846ea2d260a63109c974d39836afe692a4d025c390f0df321f5b7a8ee&o=","Econo Lodge Inn & Suites","Standard Queen Room - Non Smoking","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 351","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/560262398.webp?k=3c76125c97b7295add1f16c5706bf0dc428a517a655e42a8b4dc23d4dadcd0f5&o=","Fairfield Inn & Suites by Marriott Kelowna","Queen Room with Two Queen Beds","Rutland, Kelowna","2 nights, 2 adults","CAD 448","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/482356832.webp?k=8db26f598cdf1799595f06cfa4caf7810b6e7e3a137ef91d12abc2e874926a7b&o=","Four Points by Sheraton Kelowna Airport","Guest room, 2 Queen","Kelowna","2 nights, 2 adults","CAD 478","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/374600053.webp?k=7488a8abe6de882be801ed3cb72c52ab227470d502e386b8797eb9de2ebe5518&o=","Samesun Kelowna Hostel","Budget Double Room with Shared Bathroom","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 269","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/489350365.webp?k=42a65e6ad57825ad2fd107b7902465c5c1d30ab045afaa172d564745ddc50e8e&o=","Best Western Plus Kelowna Hotel & Suites","Queen Room with Balcony - Non-Smoking","Rutland, Kelowna","2 nights, 2 adults","CAD 538","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/279801099.webp?k=b7cbc95da9f27c8aa5e8a9129f474a490c0aeb39b873dedfa84bce60d3a18918&o=","Hyatt Place Kelowna","King Room with Sofa Bed","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 558","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/211253718.webp?k=6214975e947c12eb2b4b79ff9065383743d27f1f3886cadd1e363df0ff1cfd7a&o=","Oasis Inn","Deluxe Family Room","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 382","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/482294036.webp?k=16cfe4690956f239db08cd888c7d0fc1115ab7942fafd8de8fe9844a0381ee57&o=","Cozy one bedroom with private bathroom in Kelowna","Double Room","Southwest Mission, Kelowna","2 nights, 2 adults","CAD 162","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/18562822.webp?k=7d6aa80be2125f4687516af3a3c4e8106e557d8b5bc036a4c8f7ead1b277a545&o=","Okanagan Seasons Resort","Standard Queen Room","Rutland, Kelowna","2 nights, 2 adults","CAD 298","5.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/394356989.webp?k=74e2a14e5dc8362a43198aa312350d32662770b590da6b30ed79761762f54645&o=","Canadas Best Value Inn Kelowna","Queen Room - Non-Smoking","Rutland, Kelowna","2 nights, 2 adults","CAD 250","5.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/216154013.webp?k=8fc3fa02b42a6f75f390b11f861064406f3fb6ca3e0aac1ee0c673eddae27fd7&o=","Prestige Beach House, WorldHotels Crafted","Queen Room with Two Queen Beds with Balcony","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 476","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/105089175.webp?k=b20a825f8f38083de6015b825497e13dec3a1b3f97a0c00ce89e3454701c351c&o=","Recreation Inn and Suites","Queen Room","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 470","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/283068415.webp?k=366f69ebe9588cc8006f8c98f09939b125fc5df662b99e3a16c4ff17f07a18c5&o=","Microtel Inn & Suites by Wyndham Kelowna","Queen Room - Mobility Access/Non-Smoking","Rutland, Kelowna","2 nights, 2 adults","CAD 457","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/510843404.webp?k=9785d73d3f7b3b9577d4b80c4b65078ea60a954cd1b2c04adee347606d58f578&o=","Days Inn by Wyndham Kelowna","Queen Room with Two Queen Beds - Non-Smoking","Rutland, Kelowna","2 nights, 2 adults","CAD 398","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/96525879.webp?k=83b5ffcb8463ad1eb8d451f8cd08eee2a668dacb0729bbca0188dd40db92f121&o=","Beds By the Bridge","Deluxe Queen Room","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 262","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/580162918.webp?k=5b6fb88d38b692c424d328dcc7c09825214f293460f26b20187c1af15e9c02d3&o=","Sandman Hotel & Suites Kelowna","Queen Room with Two Queen Beds","Downtown Kelowna, Kelowna","2 nights, 2 adults","CAD 429","6.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/20831275.webp?k=ba6fb6341a91d288b5c178e505610b65ff6fa672ce16109e6d8752f450714af3&o=","Siesta Suites","Deluxe Queen Suite with Sofa Bed","South Pandosy, Kelowna","2 nights, 2 adults","CAD 597","8.4"
