"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/169807349.webp?k=036f6bab1b0f817e9e931f6815af33450f724717d6f9a419914a882533496522&o=","Quality Inn","King Room - Non-Smoking","Kitchener","2 nights, 2 adults","CAD 218","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/469952960.webp?k=4e0ee9e2e68a0a5cc4d72a68cbb4b26546b6c6bf7bd94d235e5bf0bf9ce5a55f&o=","Courtyard by Marriott Kitchener","Queen Room with Two Queen Beds and City View","Kitchener","2 nights, 2 adults","CAD 398","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/285030291.webp?k=dad3bac83bb5d87f660ebce2a08d799f8e2e41fe0557c9970f71970d340ebd71&o=","Crowne Plaza Kitchener-Waterloo, an IHG Hotel","Standard Queen Room with Two Queen Beds","Kitchener","2 nights, 2 adults","CAD 306","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/486001168.webp?k=3da7c8ef61780c61a12da7a1b25511891edf903791f21287301b5e5b1a6f3137&o=","DoubleTree by Hilton Kitchener","Queen Room with Two Queen Beds","Kitchener","2 nights, 2 adults","CAD 340","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/336801843.webp?k=cb1359f8933056947948b788e9ba936d19370160de660a6370164bb01443c6b8&o=","The Walper Hotel, part of JdV by Hyatt","Queen Room","Kitchener","2 nights, 2 adults","CAD 428","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/528007978.webp?k=3352435b16a3b3b54a09ac63d327e7be781add28b30e55528a6761cc84892b2e&o=","Newly Built Condo w Amazing Amenities and Views","Apartment","Kitchener","2 nights, 2 adults","CAD 177","-"
"https://cf.bstatic.com/xdata/images/hotel/square600/57274451.webp?k=70f80413d80a224c0a8c25cbde6162d0cd65ed78c06a165b436079cd5453d7a1&o=","Mayflower Motel","King Room","Kitchener","2 nights, 2 adults","CAD 150","6.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/19610796.webp?k=8cb33c919fee13926b8b717e81b3ab1c8b3573a4aac28011c25d6f0f7e5d99ae&o=","Residence & Conference Centre - Kitchener-Waterloo","Two-Bedroom Suite","Kitchener","2 nights, 2 adults","CAD 235","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/514790699.webp?k=5e266e98e173b885ecd5681ad5846336dd94b87acfb7b750824e764398dc94fa&o=","The Laundry Rooms Station Park Kitchener","Standard Apartment","Kitchener","2 nights, 2 adults","CAD 340","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/553588577.webp?k=72d312debba7ab44cc26aa1423175dadbb60a9a93f3e00f33a89c6192b4b3ff8&o=","City View - 1BR Condo - Private Balcony Queen Bed","Apartment","Kitchener","2 nights, 2 adults","CAD 188","-"
"https://cf.bstatic.com/xdata/images/hotel/square600/13466952.webp?k=d1a144e5de6878c573d5aff1a6afef359d742df7e1a52557accb74fa9208362c&o=","Boardwalk Homes Executive Guest Houses","Double or King Room - Type 3","Kitchener","2 nights, 2 adults","CAD 158","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/94317077.webp?k=78b9cc11bbdbb9b7f91c70a0349f293a955a53a38ec6860fe2be4e8803ccdd2e&o=","Kitchener Inn & Suites","Queen Room with Two Queen Beds","Kitchener","2 nights, 2 adults","CAD 305","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/547803593.webp?k=4b7d8c83ed63564a042c73c679bf8b406d7706c9d5b79a91ef50a61100f821e7&o=","Budget To Go Room- All amenities near by!! K2","Deluxe Double Room","Kitchener","2 nights, 2 adults","CAD 97","4.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/547196260.webp?k=ae3a780fbddd953b72d1ac03bce149eeee1c70496ccc4c8613e21aff12a59a67&o=","Deluxe Room Close to Restaurants, Plaza, Shopping, Gym & Colleges K1","Deluxe Double Room","Kitchener","2 nights, 2 adults","CAD 106","3.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/522640600.webp?k=7fa32dbd9bb03289b5e167481ee946e5a89a8a81269754d36651a6e8081a0d78&o=","Room in Kitchener I","Deluxe Double Room","Kitchener","2 nights, 2 adults","CAD 120","7.3"
