"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/95837639.webp?k=eafd51cfa662b8ef30e98c391885e0c8684af65358d4e5556c1a52ee93617b6e&o=","LELUX Hotel","Double Room with Two Double Beds","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 190","5.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/546144713.webp?k=fc99de88a1d6e38a014689d89511548e531e5f64068fd5675fbbf55c726061f4&o=","Humaniti Hotel Montreal, Autograph Collection","Guest room with 1 King","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 628","9.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/575104758.webp?k=2dadf74db6ad6d7fc90d2b24871543bdf8fae40b587809a5015f8a4e5abd29f9&o=","Holiday Inn Hotel & Suites - Montreal Centre-ville Ouest, an IHG Hotel","Standard King Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 382","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/89912519.webp?k=c2c0ba6790f56bec4dc96aab2bf827c7371463dbc64a6a2edfe87f36f1901d47&o=","Hotel Chrome Montreal Centre-Ville","Partner offer option","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 220","6.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/565701255.webp?k=720049016283d48dab455f76363808fac427cc1499760e1625cafd2e56b6b327&o=","Travelodge by Wyndham Montreal Centre","Double Room - Non-Smoking","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 338","6.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/17635357.webp?k=5a92bbbd8dc35c967f6208d40382e250ab12d651ade1f244f3e6c3be168de9a8&o=","Hotel Nelligan","Double Room","Old Montreal, Montreal","2 nights, 2 adults","CAD 620","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/207494090.webp?k=97a1f66be6750a4665243751183f7f3c5e0d4fa751e43220d2ec49789ce87b4f&o=","Best Western Plus Montreal Downtown- Hotel Europa","Small Standard Queen Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 298","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/474362341.webp?k=bb9065b9182399446e8ef72041469c76e4ae8b6b413927d43569bf1304d7d75c&o=","Hilton Garden Inn Montreal Centre-Ville","Queen Room with Two Queen Beds","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 439","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/22173656.webp?k=bc370d13a5fbe9358b81011451d45e94a3a572274df0e3cbba645358fd289d94&o=","Hotel Quartier des Spectacles","Budget Room with Shared Bathroom","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 194","6.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/211280317.webp?k=f5df7f7edee5f8a290d6446d8eae656ed81165185dcbe0e762d624b4266dd94a&o=","Auberge du Plateau","Small Double Room with Bunk Bed","Plateau Mont Royal, Montreal","2 nights, 2 adults","CAD 322","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/197415059.webp?k=63ad24835550042f2e4dc07c8a6a2748f782edd5d2502d23c1e3b9ff84b367d8&o=","Hotel Casa Bella","Economy Room with Shared Bathroom","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 190","6.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/247017072.webp?k=aecf663ca08e05b912d5fd2efa41e35181285b536468d0885c0a7cf3e9c601cf&o=","Holiday Inn Montreal Centre Ville Downtown, an IHG Hotel","Standard Queen Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 398","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/48994973.webp?k=73f3a406e119ff5a630d8bd0e9f15b93f6c41cf703475ad680b042f47fc9066f&o=","Hôtel Le Cantlie Suites","King Studio with Sofa Bed","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 454","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/551063412.webp?k=c6038b1cc62a777e31a4176dfb06250b5fd6f7ece69a4f54d5fe9e1c445714b2&o=","Hôtel Saint-Laurent Montréal","Queen Studio","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 330","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/490758091.webp?k=aa7700c3f29c3404fc3a956caf16549f7f54f6ae4524cf47d6165289984e5a97&o=","Best Western Ville-Marie Hotel & Suites","Standard Queen Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 369","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/426145443.webp?k=aa9085fdb8be8621f31e0cc08da5b384f51cb5a9e0a3e827d3c250e634412c56&o=","Hyatt Centric Montreal","King Room","Old Montreal, Montreal","2 nights, 2 adults","CAD 500","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/523756905.webp?k=1d4056fbea365d93495ca3ad425dd911f179d532cf3fe012ba5e1b7e6d00a6b1&o=","Courtyard by Marriott Montreal Downtown","Queen Room with Two Queen Beds","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 459","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/280627267.webp?k=338ec26dcf8d749747ccb7a6b0e8305b8bf5954ec46aba47d5fde838d6f7a266&o=","Cjour Apartments","Studio","Montreal","2 nights, 2 adults","CAD 240","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/369254647.webp?k=307c02aa1b39ff69d77c80312e936c4d10edc8194b7cca7afb80b67e1001e224&o=","Penfield Suites","Deluxe Queen Suite","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 270","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/581442399.webp?k=f441c02fdd97e067d943212727ab4387820f9971d50c254a61e76b3ddef25512&o=","Self service small breakfast, 2 double beds private room","Double Room with Private Bathroom","Verdun, Montreal","2 nights, 2 adults","CAD 176","-"
"https://cf.bstatic.com/xdata/images/hotel/square600/187120549.webp?k=2ad5e08f115dc532267276453fe70462c2a06bc7af0e46d084934a758ba45fc7&o=","Le St-Martin Hotel Centre-ville – Hotel Particulier","Classic King Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 568","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/485973705.webp?k=03a12de59cdb938dcf7cab970a3f85f581cb43ed27abbed6224c8cdeb7c76a54&o=","Hampton Inn Montreal Downtown, Qc","King Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 451","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/46213364.webp?k=d837089c260fd9c95b04b6658d72e64aa39f8a322bef3acaea590f2c924189f3&o=","Gingerbread Manor","Queen Room with Shared Bathroom","Plateau Mont Royal, Montreal","2 nights, 2 adults","CAD 320","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/451121165.webp?k=5768b8207b78154b1c403ef62c8c027227519ed381bfcd33b7b4c3d044105632&o=","AC Hotel by Marriott Montreal Downtown","Two Queen Beds room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 485","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/489286192.webp?k=d67a9451a400a219fbd209fe250dfa6350c8b9f43e98adffac73ab6a69caca9c&o=","Hotel le Roberval","Queen Studio","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 345","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/433445915.webp?k=689fd687712497764cc2b702165ad20d39842a333f6c1fa0ca8ef498687894a8&o=","hotel & spa Carré Saint-Louis","Economic Room","Plateau Mont Royal, Montreal","2 nights, 2 adults","CAD 400","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/224598841.webp?k=2b7450a677c1d8f1f1848c4a0bfabd635645e861328c7819ba9c0ec82e7e44f0&o=","Campus1 MTL Student Residence Downtown Montreal","Studio","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 414","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/380455510.webp?k=242bbf8ca7c77fde329a0b3abb3c7026ad4c1abb863330f1a47ec918dab1bd3b&o=","Hyatt Place Montreal - Downtown","Queen Room with Two Queen Beds","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 528","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/288581620.webp?k=72ed2a6bf31a7b0916182bed8de8a70823aa83149ecfeb8f605130ee7a61d6cc&o=","Best Western Plus Hotel Montreal","Queen Room - Non-Smoking","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 413","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/375214142.webp?k=1e7134f54b7622550cec377ce773cbe33fe5674f36075f256853e85dab709a60&o=","Samesun Montreal Hotel & Hostel","Standard Double Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 368","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/407332651.webp?k=e9950e32267ab2ed05ad45c50d7303b1d644a276ba8f3e4c8deefe2846a5e1a9&o=","Hotel de Paris Montreal","Budget One Double Bed Room","Plateau Mont Royal, Montreal","2 nights, 2 adults","CAD 269","6.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/526839525.webp?k=5a6b54a434e08d6d43c1d22824570237253701f39ce0669262230912786d5e8f&o=","APD HOTEL","Standard Queen Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 192","6.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/249045524.webp?k=cfb6ad8015c8ab95fa8ca94ece2cf9ecd4446ae369f7eb6f0686006bc9933c80&o=","Quality Inn Centre-Ville","Queen Room - Non-Smoking","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 368","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/421241928.webp?k=642d24078c8e4dfddb57287ffe2bb184bec39e42ac969071ab7256649b0b34eb&o=","Hotel Victor","Double Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 198","6.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/177997880.webp?k=46515a2719cc6312d86cc54cf714dfded63f810f12010f9463a4565097fc32f8&o=","Hôtel Birks Montréal","Classic Room 1 King Bed","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 785","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/251701298.webp?k=bd847c014b941ab67a842d09debd56c30ecac9a2413e0fd69d32f9fdf0f8c791&o=","Novotel Montreal Center","Superior King Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 466","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/24844893.webp?k=c824c822f047ba4abaa15bbce5aa6402de656e09d75dee8551c5c02ee12e495c&o=","Hotel Abri du Voyageur","Budget Room with Shared Bathroom","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 194","6.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/495086935.webp?k=dfd270c110f75f0bdbc305278b399dee693b70145ff88c94bf81debb65b8a3a7&o=","Hotel Ruby Foo's","Deluxe King Room","Montreal","2 nights, 2 adults","CAD 375","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/374992419.webp?k=37a957ec91f178311893410e29457d3efedea68e1f5f0e8fe618a07c5e68b64b&o=","Auberge Saintlo Montréal Hostel","Double Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 415","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/39764774.webp?k=f68a5b31ef0a0aa4d52337fbf7aa672a6c870826b60b2e5a80918671df42cf26&o=","LHotel","Premier King Room","Old Montreal, Montreal","2 nights, 2 adults","CAD 579","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/149236889.webp?k=40af84630a1fab5b2b3f60741aea02bb9b8290a0096d9563a7674650dadc3880&o=","Le Chabrol Hotel & Suites","Executive King Room","Notre-Dame-de-Grace, Montreal","2 nights, 2 adults","CAD 343","7.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/51405180.webp?k=0939ddd49d27931d508308da0bf54842f2fdc3b0bee07c0ac4e2544eed4e198d&o=","L'Appartement Hôtel","Queen Studio","Plateau Mont Royal, Montreal","2 nights, 2 adults","CAD 418","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/26964749.webp?k=e52db8774742424a69372dfe1e18954b1382c187907ffda0d3a4201e12a0fe9c&o=","Hotel St-Denis","King Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 372","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/93199090.webp?k=6ae64b434a473d07f0809f0653432e08d243df254608992e74c509f4664230b7&o=","Auberge Royal Versailles","Select Two Double Beds Room","Montreal","2 nights, 2 adults","CAD 361","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/485765565.webp?k=1afdda8f2a4f657391884133a98b824f75097ec8d9c8fcaaa47f9fc60958c083&o=","DoubleTree By Hilton Montreal","King Room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 533","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/443773979.webp?k=07fb300469572a2e77302450c04cd60a15361ddab18b907f21c241ce30f939ed&o=","Empire Suites","Queen room","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 219","5.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/375943701.webp?k=5ae461c5520e08396a090b00fb399429f08df63a24a85ba915aa7d21ad9448bc&o=","The Dru","Deluxe Studio","Downtown Montreal, Montreal","2 nights, 2 adults","CAD 300","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/582688773.webp?k=5755cad41ac8777e8f634995fdd38dfa88e77d60baeb98ba454bb8eb9976e6c3&o=","Pensione Popolo","Double Room with Shared Bathroom","Plateau Mont Royal, Montreal","2 nights, 2 adults","CAD 248","7.5"
