"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/247834858.webp?k=32b71164614c130341e119fff4efe2a94f3fbe15b60d0083b984206e9ea20e49&o=","Holiday Inn Express & Suites Downtown Ottawa East, an IHG Hotel","Standard King Room","Ottawa","2 nights, 2 adults","CAD 266","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/501413682.webp?k=2743736f5175882c8a6fb3379f9f7af633552ef177f75eb710010cb7477ada06&o=","Sonder The O'Connor","One-Bedroom Apartment","Centretown, Ottawa","2 nights, 2 adults","CAD 281","8.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/20267219.webp?k=8e1f9a3f541980736b5a5221775773cda42b656c3f0e7f302ccba04251291d1c&o=","The Business Inn","Executive Suite, 1 King Bed, 1 Queen Sofa Bed","Ottawa","2 nights, 2 adults","CAD 306","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/233922547.webp?k=ff872177e434aad5ea283ee4883a2a3c4b92cac134161d0f998e126b786fcb74&o=","Holiday Inn Ottawa East, an IHG Hotel","Standard Queen Room","Ottawa","2 nights, 2 adults","CAD 226","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/62025833.webp?k=c786adbb8bccf2f51a03f83320f65b26c4ac970d04448df878870ace5c9fe194&o=","ByWard Blue Inn","Standard Queen Room","Byward Market, Ottawa","2 nights, 2 adults","CAD 289","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/526638391.webp?k=3c70b4a4bd941614a2f4f475a413436ea2431d0cd48de68c21b6cfe03671634c&o=","Westview Luxury Suites","Deluxe Studio","Ottawa","2 nights, 2 adults","CAD 244","8.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/525504489.webp?k=bafcceb137573baf1a9fcff816d54f9645b6303bc08290dc6c8ac74d75b60e52&o=","Sonder Rideau","Studio Apartment with King Bed","Downtown Ottawa, Ottawa","2 nights, 2 adults","CAD 302","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/425965883.webp?k=95a120da64218695f9275f7369d7137c0b3b8d93f9606bfe011fb185e7044431&o=","Fairmont Chateau Laurier","Fairmont Queen Room","Ottawa","2 nights, 2 adults","CAD 432","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/450868963.webp?k=c01e5dce2819baec34c5a82478d17792fc92d4dd2bb1c01b2481c0c87527e82b&o=","The Metcalfe by Gray Collection","Classic Queen","Downtown Ottawa, Ottawa","2 nights, 2 adults","CAD 358","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/454919974.webp?k=2be012bb54b987c4fac0cb5d99ac7879ea066b5b11367eca9d0e070b7109dfc0&o=","Sandman Signature Ottawa Airport Hotel","Standard Room, 1 King Bed","Ottawa","2 nights, 2 adults","CAD 309","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/113608913.webp?k=8bf6cbe0d45b1c98dd3029e0105fe0f8199c846650a025a4faf08a6194b6b9c6&o=","Andaz Ottawa Byward Market-a concept by Hyatt","Queen Room with Two Queen Beds","Byward Market, Ottawa","2 nights, 2 adults","CAD 408","8.0"
