"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/39628264.webp?k=26ef4c92a95407051ee67bbef472c84927e51dacdc8a7d5ef3fdfb2ee26cb8ca&o=","Hotel Sepia","Comfort King Room","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 342","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/492380644.webp?k=9db0ffb90ef9c92dc994521369ddb4814a7f4f3bc8f0a5aba839adec5fd12008&o=","Hilton Québec","1 King Parliament View","Old Quebec - Upper Town, Quebec City","2 nights, 2 adults","CAD 568","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/448674364.webp?k=2317738039793230d8233a2dfd5fbca7f974516951c82d752a346562655f8a3a&o=","Courtyard by Marriott Quebec City","King Room with Sofa Bed","Les Rivières, Quebec City","2 nights, 2 adults","CAD 308","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/167139969.webp?k=e5dc7a6349b802cccd28120f8d441bf4842573fd53254ad9db993059a1fe5f14&o=","Hôtel Le Concorde Québec","Standard Double Room with Two Double Beds","Old Quebec - Upper Town, Quebec City","2 nights, 2 adults","CAD 371","7.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/430732121.webp?k=45b95480847f077852a5cee33bb247413aa69cfb407aec53fb72f7f0be8fb2f2&o=","Econo Lodge Airport Quebec","Room with One Queen bed - Second Floor (Nonsmoking room)","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 228","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/313389800.webp?k=24d700e15052495d0d2ad835610598badd058342a49f0458b83ca3ad81d96e1e&o=","Hotel Quartier, Ascend Hotel Collection","Queen Room with Two Queen Beds - Non-Smoking","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 302","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/235960830.webp?k=03082e27f785d38742c91ff33be1ebef9156dba5138130bc9ae4c458df289bb4&o=","C3- Hotel Art De Vivre","Economy Queen Room","Centre-Ville, Quebec City","2 nights, 2 adults","CAD 391","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/345764451.webp?k=0f26af0e4bb10d7ed1d180425065edfc6163e7a80efa5054110306e3784f8917&o=","Quality Inn","Standard King Room - Non Smoking/No Pets","Les Rivières, Quebec City","2 nights, 2 adults","CAD 286","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/410929551.webp?k=bd233f4beb7126b0f2bc72bb75d226e3d1e2ea2bf95727bf7e16976da29c6f52&o=","Clarion Pointe Quebec Airport","Standard King Room - Non Smoking","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 279","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/28485785.webp?k=e213e762004bc9e3492f502a01ac50d6dc039208a28592f29a0461cd20a133c1&o=","Auberge du Trésor","Double Room","Old Quebec, Quebec City","2 nights, 2 adults","CAD 439","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/571928091.webp?k=4c1d80e5c06ad3af0f595b02e74b2d91d5fe95ecb50013267ab9b6263888c4f7&o=","Hôtel Lindbergh","Queen Room with Balcony","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 334","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/21533834.webp?k=2211c4d84ecfdd070763194a129784472d5562e78ec0bd5038c1c0b71b6a2f67&o=","Hôtel Cofortel","Queen Room - Ground Floor","Quebec City","2 nights, 2 adults","CAD 358","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/401024121.webp?k=542b53b09c87b8208ed5bf39775934ab9401ced79bbeada28e8cc240076d3ce9&o=","Hotel Le Voyageur","Standard Queen Room","Beauport, Quebec City","2 nights, 2 adults","CAD 316","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/511082929.webp?k=9c11967d13d30767e417a5f4d3d9f4999d1b44237d5d718f37b6d7f8457f9152&o=","Hotel Port-Royal","Classic room","Old Quebec, Quebec City","2 nights, 2 adults","CAD 544","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/269849548.webp?k=54bf36742ad398c0cfa602a6e12f5d8239f8901cb44b6db29789e5ff4c57bf05&o=","Hotel Chateau Laurier Québec","Business Double Room","Old Quebec - Upper Town, Quebec City","2 nights, 2 adults","CAD 438","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/255299491.webp?k=99729b036ee79eeb21c61d3ac727627e055edf0e7c1fbce4f9921003aa6567c7&o=","Motel Giffard","Double Room","Beauport, Quebec City","2 nights, 2 adults","CAD 207","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/40810441.webp?k=6d659062ec5ead9fb274802d781f6fb36d6bbfdd50f96f113785f624c040973a&o=","Hotel Universel","Standard Room, 1 Queen Bed","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 270","6.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/169500457.webp?k=87a2d559974cfbcade9bf6ee29de553fa2bf2b2d93ae583f7612c527f79a6407&o=","Littoral - Hôtel & Spa","Queen Room","Beauport, Quebec City","2 nights, 2 adults","CAD 258","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/534494116.webp?k=fc85c380ce2b122537064fea46bda97cde573d428d7d091f0d331687d9586365&o=","L'Adresse sur Grande-Allée Lofts","Loft","Old Quebec - Upper Town, Quebec City","2 nights, 2 adults","CAD 406","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/485801782.webp?k=96c38acde9fbe37b56401fa2e9085f44ed43449bdf45fbeb9ed166bcf4c85b68&o=","DoubleTree by Hilton Quebec Resort","Queen Room with Two Queen Beds","Quebec City","2 nights, 2 adults","CAD 364","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/432921506.webp?k=4544b8ad53dc55abf0029d956e618dd1a71138d286d2f37c4f203d7869d622af&o=","B&B Manoir Mon Calme","Queen Room","Old Quebec - Upper Town, Quebec City","2 nights, 2 adults","CAD 331","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/109669028.webp?k=c4744ee036b03620ea359d5e3bc39f08df003883c1c7bc383d39fd4d04dfd536&o=","Hotel Classique","Superior King or Twin Room","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 316","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/548457978.webp?k=37acac0b7de03eeea281d9c718cbf16bac962fc26a420a314870d2a50d596dcb&o=","Appart hôtel Le Saint-Anselme","(5-405) One-Bedroom Apartment with Private Terrace and View to St Joseph Street","Saint-Roch, Quebec City","2 nights, 2 adults","CAD 395","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/287721067.webp?k=401673c349073689d3beab6578814ed2e6e826f4f177a85517ea757d10ac9064&o=","Holiday Inn Express Quebec City-Sainte Foy, an IHG Hotel","Standard Room","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 378","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/33125856.webp?k=a6f9ec0e1506c4a642c5f5486d97b5f0b7fc4e664ea3d11a7e79b8b336cadaf1&o=","Auberge St-Louis","Standard Room with Double Bed and Shared Bathroom","Old Quebec, Quebec City","2 nights, 2 adults","CAD 238","7.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/191131164.webp?k=f1033e31dd45a8b1c2c769b2e2430b04fe6a7c85176513750831122fadaf1052&o=","Quality Suites","King Suite with Sofa Bed - Non-Smoking","Les Rivières, Quebec City","2 nights, 2 adults","CAD 352","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/13425887.webp?k=578a100652ed7c7ce161c587caa7ecc806b7d39f966d8cf94c81f3d47b3107d3&o=","Hotel Manoir Victoria","Standard Room","Old Quebec, Quebec City","2 nights, 2 adults","CAD 570","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/366263955.webp?k=4573ee5758336e6bf682ca01f7bb0da8244b318b0f4ded1faab9b52f5f9460ff&o=","Hotel Plaza Quebec","Exterior View Room, 1 Queen Bed and 1 Queen Murphy Bed","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 326","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/466625667.webp?k=d9ff4c4984db3d3de552e6a0202406938409f06ad47b008802956586409a9188&o=","Travelodge by Wyndham Quebec City Hotel & Convention Centre","Signature Room with Two Double Beds - Non-Smoking","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 338","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/571882542.webp?k=8371f722c39d278fc9c99306a2591897e3b283201dcf706fdadd24f3c06b5795&o=","Hôtel Québec Inn","Economy room, 1 Double bed - Exterior View","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 338","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/567282284.webp?k=da44a8f46d2894af7d90212901241bec4b9d10db8faa847871d416ee1dded161&o=","Les couleurs de Sillery","Double Room with Shared Bathroom","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 189","-"
"https://cf.bstatic.com/xdata/images/hotel/square600/133097562.webp?k=1bba76bb478f9283bcd4a5b8b849cfe09ab31fc8cec6ff9b309bb6c947210286&o=","Les Lofts Ste-Anne","Open Space Loft 2 People - 102","Old Quebec, Quebec City","2 nights, 2 adults","CAD 422","9.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/10483945.webp?k=d8eb551c42dbbd3baf6070ca386d5b753180712971f36d2fdb1f8de1418b6b12&o=","Grand Times Hotel","Grand Comfort One Queen Bed Room","Les Rivières, Quebec City","2 nights, 2 adults","CAD 355","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/409984240.webp?k=26db79132cd7ab86200cf9e4525a61f68550343e43de82a499ad640a46535b35&o=","Hotel Clarendon","Corporate Queen Room","Old Quebec, Quebec City","2 nights, 2 adults","CAD 634","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/231531269.webp?k=94a43ce442bc653dc73836a4d2d68f605ac09f3f2fa58f72fb1641f40eb5f726&o=","Hotel Jardin du Gouverneur","2 Double Beds","Old Quebec, Quebec City","2 nights, 2 adults","CAD 410","7.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/468294216.webp?k=d804d6ec6370a03e689a3bec01e0e3011c6072ea517fa8795d5390c7444ea05f&o=","Super 8 by Wyndham Quebec City","One King Bedroom - Non Smoking","Sainte-Foy-Sillery, Quebec City","2 nights, 2 adults","CAD 302","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/41162795.webp?k=4a21295ffef5df08593b36e4b50a297923ae73c221835e2a3e4053f1b276d0e7&o=","Résidences Campus Notre-Dame-de-Foy","Queen Room with Private Bathroom","Quebec City","2 nights, 2 adults","CAD 170","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/42051205.webp?k=e7c9239494e93288f573571f359e6eae32ab2a2694291e05b281f61b6e23fdbf&o=","Hotel & Suites Monte-Cristo","Queen Room","Les Rivières, Quebec City","2 nights, 2 adults","CAD 228","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/325957055.webp?k=2abf04c39dcb3e09f252c8f8918ca23d20ddf9202ee3d8f6d092ecd28910e34f&o=","Le Capitole Hotel","Queen Room","Old Quebec, Quebec City","2 nights, 2 adults","CAD 815","9.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/403458211.webp?k=893e21d153e5055009bb05c3c48e4675414ba4fe058af091a5fe1912a86e7bcb&o=","Le Caïman","Loft - 204","Saint-Roch, Quebec City","2 nights, 2 adults","CAD 335","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/337705959.webp?k=f51045b5182774dcd87824b7fbc5ba2140a9f1f1868549f70b08565a96e5c104&o=","Hotel PUR, Quebec, a Tribute Portfolio Hotel","Deluxe, Guest room, 1 King","Saint-Roch, Quebec City","2 nights, 2 adults","CAD 468","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/278108115.webp?k=78cb6acf70c97a9114db756b680d85fd0e90b0b400bdeada596d6b43b4ece989&o=","Hotel Royal William, Ascend Hotel Collection","Queen Room","Saint-Roch, Quebec City","2 nights, 2 adults","CAD 439","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/555785993.webp?k=22d1b2597f833c9304290a5b3e5e1079f4ff7f89cd47d2668d17f0ddb2ecf16c&o=","Hôtel Québec Best Western PLUS Centre-Ville - City Center","Queen Room with Two Queen Beds","Saint-Roch, Quebec City","2 nights, 2 adults","CAD 492","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/264744429.webp?k=4db1c3a1b04b0816d5b260e4bd774f3fa64293f8cd95070af43f8c6c414d8073&o=","Hotel Le Saint-Paul","Standard Queen Room","Old Quebec, Quebec City","2 nights, 2 adults","CAD 470","8.3"
