"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/170447149.webp?k=e74129592bf8b38ad06270da59672296e12caf6fc5e9ef06388e3f99acb07080&o=","Comfort Inn","Double Room with Two Double Beds - Non-Smoking","Regina","2 nights, 2 adults","CAD 178","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/463727909.webp?k=034f5614731ddf1c55cd65875673ec40af44d4ae1938604c4456f4fe91c6ecb3&o=","Four Points by Sheraton Regina","Guest room, 2 Queen","Regina","2 nights, 2 adults","CAD 263","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/51732443.webp?k=96d4ef638efa64f72a420556a378c0c4c7a520de6a2279779a62a394412a1886&o=","Ramada by Wyndham Emerald Park/Regina East","King Room","Regina","2 nights, 2 adults","CAD 240","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/512253598.webp?k=a21b1681f1928584aad6d4fab39855ba947d31de2ad09217208e267666d8a3cc&o=","Delta Hotels by Marriott Regina","Deluxe Double Room with 2 Double Beds","Regina","2 nights, 2 adults","CAD 478","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/436581982.webp?k=a861dbc454f365e6bca0304ccf9d8efe26fda7f8f8475c1ecd686ff03145609d&o=","Travelodge Suites by Wyndham Regina - Eastgate Bay","One-Bedroom King Suite - Non-Smoking","Regina","2 nights, 2 adults","CAD 185","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/67862261.webp?k=0e99183142132e162deff0ff47a114962f7db856fd8d365fee23c45114b7a17f&o=","HomeSuites by D3H","Deluxe Queen Studio","Regina","2 nights, 2 adults","CAD 245","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/289151734.webp?k=4cfd686fa2004386adadc07af09f52e38deac43a91090d1f2bebba8aad078b07&o=","Royal Hotel Regina, Trademark Collection by Wyndham","Queen Room - Non-Smoking","Regina","2 nights, 2 adults","CAD 230","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/135453937.webp?k=c2bf61db90d3c8aff3ac310fc1a6c78d6ffc6a0830eb9649b72099887258a694&o=","Days Inn by Wyndham Regina","Queen Room with Two Queen Beds - Non-Smoking","Regina","2 nights, 2 adults","CAD 194","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/291533652.webp?k=ebcdc6b2fbd09e4fa90bc6fe894ddfb7a4306ee62281ff44ca7e60a78cc0685c&o=","Comfort Suites Regina","Queen Suite with Two Queen Beds and Sofa Bed","Regina","2 nights, 2 adults","CAD 232","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/581465238.webp?k=cae5ee82253e9f8fbef0b9b25cc0a255b2c3fddf776c23d2de4e4aa2653995b8&o=","Holiday Inn Hotel & Suites Regina, an IHG Hotel","Standard Room with Two Queen Beds","Regina","2 nights, 2 adults","CAD 246","7.8"
