"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/287851038.webp?k=565fee0e027f86914e78c69181b10c0921d679a5c04e4940d7664282fe5e7ea6&o=","Sandman Hotel Saskatoon","Standard Room, 1 Queen Bed","North Industrial , Saskatoon","2 nights, 2 adults","CAD 216","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/506678867.webp?k=02dee526f2beae0a35c7919de6f61b54b9c429616d1d73a802201bdd0b6ddfe4&o=","Delta Hotels by Marriott Saskatoon Downtown","Guest room, 1 Queen, Corner room","Saskatoon Downtown, Saskatoon","2 nights, 2 adults","CAD 398","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/521209129.webp?k=3b7988a6dd8ead32fd629330efd75702447ae8f1bf5622a05c85d4e1b089331b&o=","Country Inn & Suites by Radisson, Saskatoon, SK","Standard Queen Room with Two Queen Beds","North Industrial , Saskatoon","2 nights, 2 adults","CAD 189","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/513415084.webp?k=b554b9bc6d4e7ca158e76a6c24afd3c2feda387acbc089a038f27b2ed795969a&o=","Midtown Inn","Standard Twin Room","Saskatoon","2 nights, 2 adults","CAD 126","6.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/474375528.webp?k=17f595a97d59fd3674793a214c430918ddd5d44b1331a3c5613522823b145a8a&o=","Hampton Inn Saskatoon South","Queen Room with Two Queen Beds - Mobility Access/Non-Smoking","Saskatoon","2 nights, 2 adults","CAD 280","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/474375967.webp?k=ad4c2289894f5bd96a55e6ed4e8a3751ca18793157ed510f11003cd36c941457&o=","Hampton Inn & Suites by Hilton Saskatoon Airport","King Room with Sofa Bed - Non-Smoking","North Industrial , Saskatoon","2 nights, 2 adults","CAD 287","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/254601355.webp?k=5ecc27c1983baa47035ebdc167194e81f449fe2bfb4e80e31c1e65d0b8917ae5&o=","Travelodge Hotel by Wyndham Saskatoon","Standard 2 Queen Room Tower Section Non-Smoking","North Industrial , Saskatoon","2 nights, 2 adults","CAD 258","7.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/224196483.webp?k=7dced7a22506317c1c9998551c0e41cb1b4a2e161ad7c41956c40c5ce7757f65&o=","Alt Hotel Saskatoon","King Room","Saskatoon Downtown, Saskatoon","2 nights, 2 adults","CAD 328","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/163832717.webp?k=cab5820bcd9f24e7d7ad630739d8d87a520513bb21c20a426a291e4714f4671f&o=","Best Western Blairmore","Queen Room with Two Queen Beds","Saskatoon","2 nights, 2 adults","CAD 276","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/241007997.webp?k=0898b5afa371f1d20ca187252f8694d103ddc223f34105717c1b67f32269fc36&o=","Holiday Inn Express Hotel & Suites Saskatoon, an IHG Hotel","Standard King Room with Sofa Bed","Saskatoon Downtown, Saskatoon","2 nights, 2 adults","CAD 322","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/248057042.webp?k=c4921c7941c88fb787a98c091e8f7e33ceb6833aca43f804dac2a713e14459d0&o=","Holiday Inn Express & Suites - Saskatoon East - University, an IHG Hotel","Standard Room with Two Queen Beds","Saskatoon","2 nights, 2 adults","CAD 345","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/310926024.webp?k=8d1c4c379cf24b35f955832137c5d3a4a42d5c35bf23076da8d623e4a1b65233&o=","Days Inn by Wyndham Saskatoon","King Room - Non-Smoking","North Industrial , Saskatoon","2 nights, 2 adults","CAD 258","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/130796810.webp?k=3201d3edda8a31c58ace3b37a09ab870bceffeadbb80632aaa88f9a546287c27&o=","The Inn on College","Economy Twin Room","Saskatoon Downtown, Saskatoon","2 nights, 2 adults","CAD 141","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/20874140.webp?k=34711e654f299186e9dcee4b7152d4c6fd2706283eae481767fff78fbdc8a901&o=","Hotel Senator","Queen Room","Saskatoon Downtown, Saskatoon","2 nights, 2 adults","CAD 298","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/243368520.webp?k=1d907c59b37c23436a69882ae737a027e694b61bc404f11ff74f72ecae910818&o=","Comfort Suites Saskatoon","King Suite - Non-Smoking","North Industrial , Saskatoon","2 nights, 2 adults","CAD 244","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/276417599.webp?k=caec1b025753356a3bc50c3ac07808b94f3219999701028975e9d2ab91080612&o=","Comfort Inn","Queen Room","North Industrial , Saskatoon","2 nights, 2 adults","CAD 187","6.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/301998893.webp?k=dc35501fd8412072dad24045024c3290013bf6b6b38ba8d4e32569186d6e89b5&o=","Holiday Inn Saskatoon Downtown, an IHG Hotel","Standard Room","Saskatoon Downtown, Saskatoon","2 nights, 2 adults","CAD 272","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/59051610.webp?k=1d60fc8ad518ca790004c9f192451c10c87699f51e4b08a13bc3e00d01fcc8b0&o=","Heritage Inn Hotel & Convention Centre - Saskatoon","Queen Room","Saskatoon","2 nights, 2 adults","CAD 207","6.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/21977365.webp?k=fb913dc1768ce7502ba3560cafebf41bbf202fc5e58431624669b87015725e71&o=","Park Town Hotel","Queen Room","Saskatoon Downtown, Saskatoon","2 nights, 2 adults","CAD 318","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/413107226.webp?k=fa45787c7239b49621f3530ea01de1b45dc5427552aea3dadfccf72ba65d3809&o=","Sandman Signature Saskatoon South Hotel","Accessible Room, 1 Queen Bed","Saskatoon","2 nights, 2 adults","CAD 328","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/430819873.webp?k=acfdb12f0000527033ae6dcecc70a05b78f1c987b5365d97cb3ed5fe86049bf1&o=","Sheraton Cavalier Saskatoon Hotel","2 Queen Traditional Guest Room","Saskatoon Downtown, Saskatoon","2 nights, 2 adults","CAD 378","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/154529068.webp?k=dfaacc400c5134e79b72f22353ae092fc4be1068d27ed566dc7e63674e9b32b4&o=","Saskatoon Inn & Conference Centre","Superior King Room","North Industrial , Saskatoon","2 nights, 2 adults","CAD 253","7.5"
