"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/215709736.webp?k=5ca699f516cf990556cbc19e791b7fdd781c1935f34e5d45ac435d34694631b7&o=","Nice rooms with private bath in Mid Town Toronto","Double Room with Private Bathroom","Scarborough, Toronto","2 nights, 2 adults","CAD 208","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/357791478.webp?k=29ace4fab5ca57af3b86426743996811781c89daada326596347dd9375111ef5&o=","Sonder The Slate","King Room","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 618","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/405157104.webp?k=c4cf89534de403bd70185e9886a0fb620883b8acd6b7456ce5b6fa30538f655a&o=","Holiday Inn Toronto Downtown Centre, an IHG Hotel","Premium King Room","The Village, Toronto","2 nights, 2 adults","CAD 390","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/521132428.webp?k=971704fe4280b2e9ea9a18e3e42f5f5b9691484d6233716965e76af74de9a809&o=","Sonder at The Liberty","Superior One-Bedroom Apartment with Balcony","Toronto","2 nights, 2 adults","CAD 516","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/53208679.webp?k=fba4810b6d1d57dd02bed8952fa02fd346eff4dd1ab61955b0b5bac9c58db7b2&o=","Chelsea Hotel Toronto","Standard Queen Room","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 410","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/83948778.webp?k=20f1c6aa16884de9bfa38d5d785393e7270de01a4b74e9f91af61edd0f472bdf&o=","Residence & Conference Centre - Toronto","Deluxe Two-Bedroom Suite","North York, Toronto","2 nights, 2 adults","CAD 254","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/561024937.webp?k=03e249ad083dc82cf922cf71ebd9b62d8da2b0d8e92c1b2c7b067186761cebc9&o=","Toronto Metropolitan University-International Living Learning Residence","Standard Double Room","The Village, Toronto","2 nights, 2 adults","CAD 250","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/210248815.webp?k=cdb671dacdfdd8caca128b10c1d2b2f66c7fc9cfbeddfaa90e9eba52fa053245&o=","Chestnut Residence and Conference Centre - University of Toronto","Double Room with One Double Bed","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 345","6.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/46251622.webp?k=c5b2c0fabbbe26d65d8d8102221dfa64fd0271f24a863848a178c6b0294c8a66&o=","Town Inn Suites Hotel","Deluxe King Suite","The Village, Toronto","2 nights, 2 adults","CAD 401","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/546158988.webp?k=608f9c9dedf7aa70ea7bfe9e47fabea46302f9b77bb3a5f96f845d3a95e91542&o=","Crowne Plaza Toronto Airport, an IHG Hotel","Standard Room","Etobicoke, Toronto","2 nights, 2 adults","CAD 274","7.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/485851059.webp?k=d40a483cf2cf726779696227d934f248340d1f712af7a5bab0788e3681dae128&o=","DoubleTree by Hilton Toronto Downtown","Queen Room","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 449","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/234143393.webp?k=4c24eef9ce0b69a2c36d071e7cb5be45cfdc1291d147f562b692ff67150f78c4&o=","Holiday Inn Toronto International Airport, an IHG Hotel","Standard Room","Etobicoke, Toronto","2 nights, 2 adults","CAD 294","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/94306082.webp?k=25a7110e88059ea1f80236337d3e1b50a170c6aa186bb500d40950a525433c66&o=","Residence & Conference Centre - Toronto Downtown","Two-Bedroom Apartment","Old Town Toronto, Toronto","2 nights, 2 adults","CAD 431","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/546158637.webp?k=0ed408a270009fd029043364574a5583f56b025d0535e3f2d314cb8cc3ef150c&o=","Holiday Inn Express Toronto Downtown, an IHG Hotel","Standard King Room","Old Town Toronto, Toronto","2 nights, 2 adults","CAD 510","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/39679015.webp?k=9c69ec26e07246e78760c7fbd232fba16973edc0f43961353ac98626eefc3d11&o=","One King West Hotel and Residence","Studio","Financial District, Toronto","2 nights, 2 adults","CAD 502","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/569247225.webp?k=632187b2aa2f684ea2eaf3e074bfc67176eb9c5a6aa8e524c72bc1946eac71bb&o=","Fairmont Royal York Hotel","Queen Room","Financial District, Toronto","2 nights, 2 adults","CAD 664","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/173519796.webp?k=5650b7490b19259776df8997f13935acf3018a3979814c1fed32daf8b99fda45&o=","The Parkdale Hostellerie","Queen Room with Shared Bathroom","Toronto","2 nights, 2 adults","CAD 168","5.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/552764035.webp?k=852802e38d890706b370007b72bdd380d94cff377d3049fb8a9339c71942a6f0&o=","Hotel X Toronto by Library Hotel Collection","Luxury Room - 1 King Bed","Toronto","2 nights, 2 adults","CAD 771","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/461258063.webp?k=f8a95d688ea90f0298d2cf8164347480d62ccc74a43c86d8725a5bc96c7db1d7&o=","Best Western Plus Travel Hotel Toronto Airport","King Room","Toronto","2 nights, 2 adults","CAD 288","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/280163222.webp?k=2e4aa3fe3d71f8f0455162daa1d339b322fa0e11f42678e0ad97aa726722fd29&o=","The Yorkville Royal Sonesta Hotel Toronto","King Room with Roll-In Shower - Mobility Accessible","Bloor-Yorkville, Toronto","2 nights, 2 adults","CAD 475","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/568153985.webp?k=932f27f2b9b5bbce9d0e908f9e25caf138b0b730c41bb0806d65a0b28c552b37&o=","Sandman Signature Toronto Airport Hotel","Signature Corporate King","Etobicoke, Toronto","2 nights, 2 adults","CAD 334","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/439530045.webp?k=62ab13afb4a5af0ae5d60a1cac30d86f53ee376de193f264f73b03b3c8aed83a&o=","Toronto Marriott City Centre Hotel","Guest room, 1 Queen","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 576","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/521697585.webp?k=845398ab91de4837a81e9f11e9e3690a38fdf0f94a54d214d702bf1f30a48083&o=","Canadas Best Value Inn Toronto","Business Queen Room - Non Smoking","Etobicoke, Toronto","2 nights, 2 adults","CAD 286","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/421275833.webp?k=e3b63878c87e4bb1b324cd5d3c21042e8bfb7da2b868ddffc9ff006a9a091495&o=","Samesun Toronto","Queen Room with Balcony","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 365","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/511693069.webp?k=d630bc05a08a758fe0e3f99932769497e11f4c710cb8bdce1a46bde712451e45&o=","Holiday Inn Express & Suites - Toronto Airport South, an IHG Hotel","Standard King Room","Etobicoke, Toronto","2 nights, 2 adults","CAD 354","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/307293127.webp?k=7a883564beca082c036a8fe13eb7d7f3bc79f8ed48d817916a7b32e47c5bc574&o=","1 Hotel Toronto","Studio King","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 858","8.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/561346857.webp?k=5869c939a88e2206424e47749d6bfad9ac1b2350bc43e28fba07b037817b94d8&o=","Hilton Toronto","Queen Room with Two Queen Beds","Financial District, Toronto","2 nights, 2 adults","CAD 604","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/57444206.webp?k=b7d60003751be1cbdf3d4caeeb8d8d76d157dc2977cfd6274fd61cab89bc165f&o=","Neill Wycik Hotel","Twin Room with Shared Bathroom","The Village, Toronto","2 nights, 2 adults","CAD 230","6.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/14890600.webp?k=6f0921629c8c1e130cb099d0d753328399d14f09a6e95bf0b49b70cc7996e8f2&o=","The Rex Hotel Jazz & Blues Bar","Basic Room with Double Bed and Shared Bathroom","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 260","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/519164627.webp?k=e80b9d89b1f7441ed193f5c8fcd3831a837065e8e8f6db15b5b5f92953637c96&o=","Holiday Inn Express Toronto-North York, an IHG Hotel","Standard King Room","North York, Toronto","2 nights, 2 adults","CAD 358","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/210493594.webp?k=5ec606d966adb14e2f05aaefc857403827b15eb8615174e77b626645c24f3a38&o=","Executive Hotel Cosmopolitan Toronto","Jr 1 Bedroom","Old Town Toronto, Toronto","2 nights, 2 adults","CAD 568","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/387357455.webp?k=b9e75a662bc154bbde17bde8f85fc52872ff4c888c327e895b9166f475eacc29&o=","MMG Executive Suite - VIEWS FROM THE TOP","One-Bedroom Apartment","The Harbourfront, Toronto","2 nights, 2 adults","CAD 382","9.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/50842444.webp?k=0d46a223b2dfacef919614a9a2f20a4378beab2f48c3fa2fa311ad2ea55186bc&o=","Hotel Victoria","Standard Queen Room","Financial District, Toronto","2 nights, 2 adults","CAD 357","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/186134941.webp?k=5054521eb241be2aa5a2e957059912919706e11a265548d1b7a017b996bd12c5&o=","Hyatt Regency Toronto","King Room","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 678","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/534249454.webp?k=bf4281b45a1af15637651c04d87bac1ead932b39f75334553dc7d70066a2ed3d&o=","Great Canadian Casino Resort Toronto","Premium King","Etobicoke, Toronto","2 nights, 2 adults","CAD 322","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/235073645.webp?k=34e61305d854615f798753c5f0e39eadce39d041792fb09535432fb9b7ccf033&o=","Kimpton Saint George Hotel, an IHG Hotel","King Room","Bloor-Yorkville, Toronto","2 nights, 2 adults","CAD 570","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/473619559.webp?k=d46434830b411e6cc0c33c7a72b07a24bb94c6c3a40af82a3a6e819185eaebec&o=","Hampton Inn by Hilton Toronto Airport Corporate Centre","Queen Room with Two Queen Beds - Non-Smoking","Toronto","2 nights, 2 adults","CAD 419","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/517442653.webp?k=a9a9bb3c10f8dddb6e90a0a23dc2470776eaac54f0163f8debfb92e7b307e2ce&o=","InterContinental Toronto Centre, an IHG Hotel","Premium Queen Room with Two Queen Beds","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 693","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/451123216.webp?k=64de8e75e50310547c20978f90009526fda648c35526bb941cca87b4afc88ee3&o=","Courtyard by Marriott Toronto Downtown","Queen Room with Two Queen Beds and City View","The Village, Toronto","2 nights, 2 adults","CAD 508","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/485741186.webp?k=2e6a227d61c68280e388f3faad50d47cec2a8e838538775aaf4e9049af36a18c&o=","Doubletree by Hilton Toronto Airport, ON","Queen Room with Two Queen Beds","Etobicoke, Toronto","2 nights, 2 adults","CAD 376","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/251699639.webp?k=05b5fc5cd07767002872a08e95f4186bb2642619a997ea7861510004818a43f0&o=","Novotel Toronto North York","Superior King Room","North York, Toronto","2 nights, 2 adults","CAD 448","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/348757254.webp?k=09cad5791580537955039880cf63341d3273b1ac6a95beb6adfc12443a2bd6fe&o=","Sheraton Toronto Airport Hotel & Conference Centre","Traditional, Guest room, 2 Queen","Etobicoke, Toronto","2 nights, 2 adults","CAD 385","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/98837691.webp?k=11eaa8eec27ad60ca7eeef2f7bc6f4dd7f6275547e5d7716bdeed2848e0630de&o=","The Broadview Hotel","King Room","Toronto","2 nights, 2 adults","CAD 709","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/568441637.webp?k=08542ee6cd713da6f7f99c8be58f5ed2d4762a4474e584cd76c48f30c9b03b92&o=","Downtown Toronto Condos","One-Bedroom Apartment","Downtown Toronto, Toronto","2 nights, 2 adults","CAD 506","9.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/287818089.webp?k=5cdd4ad3405f87e7b9711978da9ad4e202cb7c34fc4f6fca924bd7e675bf6ac6&o=","Stay Inn Hotel Toronto","Business King Room - Fully Renovated 2021","Etobicoke, Toronto","2 nights, 2 adults","CAD 456","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/159920788.webp?k=4b4c87306efe9c721049d85c86aa40599c99c57510930fa7393b41dbdb507755&o=","Best Western Premier Toronto Airport Carlingview Hotel","King Room - Non-Smoking","Etobicoke, Toronto","2 nights, 2 adults","CAD 278","7.5"
