"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/339134584.webp?k=0359566c40b6e50f842deced7847767b67239ace98250c69e40a37759643e8f9&o=","Gage Suites at UBC","Superior Studio","UBC - University of British Columbia, Vancouver","2 nights, 2 adults","CAD 464","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/222562919.webp?k=a9062b19f9ce20a7eeff8d4f1e3bedcacca7813f4f5fd183a46e5b613e038347&o=","Pinnacle Hotel Harbourfront","Standard King","Downtown Vancouver, Vancouver","2 nights, 2 adults","CAD 727","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/503242750.webp?k=af7325871eb8533de831075a9e4d46d2609113e766bedc25e7687d3f3038770d&o=","Quality Inn & Suites","Double Room - Non-Smoking","Downtown Vancouver, Vancouver","2 nights, 2 adults","CAD 436","6.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/524223391.webp?k=9b3e63c3b52419e23740310768b3f404c8e67a546020a46efa65a559c0dc4204&o=","Sonder at Revival","Superior King Room","West End, Vancouver","2 nights, 2 adults","CAD 924","8.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/140152416.webp?k=abbceb68776c2718c9441b8b7d9a00b1d0ccaf9d3c2448c16c1b90a9e01522d1&o=","Carey Centre","Queen Room with Shower Tub","UBC - University of British Columbia, Vancouver","2 nights, 2 adults","CAD 506","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/155014582.webp?k=714d42b4a9b459331918f63cd742f9adaadf678b56cc85cfd63e01101096e3cf&o=","EXchange Hotel Vancouver","Superior King Room","Downtown Vancouver, Vancouver","2 nights, 2 adults","CAD 765","9.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/234949092.webp?k=75721d75ce86b54255b1d188c5c0eb5fd3646b3e9645c49d4762aa41eb302899&o=","Holiday Inn Vancouver-Centre Broadway, an IHG Hotel","Standard Queen Room","Vancouver","2 nights, 2 adults","CAD 560","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/574882594.webp?k=51f075bb5db8b465a057fa8990fc680d218e98e504cb04b3770de876c66cdb6f&o=","Best Western Plus Sands","Small Queen Room","West End, Vancouver","2 nights, 2 adults","CAD 501","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/485744205.webp?k=e76fd5df1cb0d17f5ccc7d94646a8f3fd845332e023fb36d55fe1d71e8e41666&o=","Hampton Inn & Suites, by Hilton - Vancouver Downtown","Queen Room with Two Queen Beds - Non-Smoking","Downtown Vancouver, Vancouver","2 nights, 2 adults","CAD 619","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/46918252.webp?k=18a6ef02988e3c59368c0f2a7612aacf451f863133f302236b6f80ab08c48df6&o=","Barclay Hotel","Standard Twin Room","West End, Vancouver","2 nights, 2 adults","CAD 410","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/12839334.webp?k=fe75c2f498a0dddc7903c2e4b07e075dfa972cdcba62650453e96acaff85b038&o=","Pan Pacific Vancouver","DELUXE ROOM","Downtown Vancouver, Vancouver","2 nights, 2 adults","CAD 898","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/577451181.webp?k=70bc22af7b1966887f18c189f858ebf64179e344b2487f1bf5822887bf8445bd&o=","Fairmont Pacific Rim","Fairmont King Room","Downtown Vancouver, Vancouver","2 nights, 2 adults","CAD 1,103","9.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/130939401.webp?k=8593200cfbc1e9c6a1cadd41ef51595dbee86bd791e33c3c5cbf0649a70f6e5f&o=","Blue Horizon Hotel","King Room with Balcony","West End, Vancouver","2 nights, 2 adults","CAD 648","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/550224768.webp?k=38d369c1f2073107e67a8f397c44b90ba22e686471e6e231f7b33222f90d1c97&o=","Hyatt Regency Vancouver","Double Room with Two Double Beds","Downtown Vancouver, Vancouver","2 nights, 2 adults","CAD 758","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/388678289.webp?k=d491a43ed5cafc7424da683bf153a1c220cffcc6a870d7107b623ce7563600b9&o=","Sandman Suites Vancouver on Davie","One-Bedroom Queen Suite","West End, Vancouver","2 nights, 2 adults","CAD 627","7.2"
