"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/380262614.webp?k=b5de3b2157833bc94ed20549b3f560c701e461043f5480b7096e2294934256af&o=","Fairmont Empress Hotel","Fairmont City View 1 Queen","Downtown Victoria, Victoria","2 nights, 2 adults","CAD 898","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/430816251.webp?k=ca7dd94e405d4861e26e271b60995a4299ecf9e75acdeae76055cace128e9f63&o=","Delta Hotels by Marriott Victoria Ocean Pointe Resort","King Room","Victoria West, Victoria","2 nights, 2 adults","CAD 808","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/490828496.webp?k=091205440d549b177422c52048cf18e73c0c6acafc6fb878b196afac3a2aca46&o=","SoLo Suites","Studio","West Shore, Victoria","2 nights, 2 adults","CAD 547","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/106158415.webp?k=1f8b12dd1769cf223296d4b62e49094cd038adf134b27477a261ec0959df9e7e&o=","The Magnolia Hotel & Spa","Superior Room","Downtown Victoria, Victoria","2 nights, 2 adults","CAD 898","9.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/18898810.webp?k=48f7a95e7f6f065272adbb191b6fc19aaf4809686d23a0e53f2d472dc9efbf37&o=","Red Lion Inn and Suites Victoria","Standard Double Room with Two Double Beds","Victoria","2 nights, 2 adults","CAD 438","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/96899235.webp?k=c40478bdd00df24112027faaba0d17ed726200c8f8f92e669f94bf6cae794d51&o=","Hotel Grand Pacific","Signature Victoria Room: Two Queen Beds","Downtown Victoria, Victoria","2 nights, 2 adults","CAD 682","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/306730824.webp?k=0ea3cc04fe6022b9ebd68d7588f2add1b68267da67de28d70f983ce9200c599c&o=","Swans Brewery, Pub & Hotel","Duplex Suite","Downtown Victoria, Victoria","2 nights, 2 adults","CAD 742","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/486033440.webp?k=04cb98c13a26bb024ea281219bf50cf8920d7ced70988b5b9b44861e036e4678&o=","DoubleTree by Hilton Hotel & Suites Victoria","Standard King Room","Downtown Victoria, Victoria","2 nights, 2 adults","CAD 690","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/248058648.webp?k=d3ec2ae20c1c63475c81c892f595df6c7904b71134b99e5b2d3aebdd8a4e4983&o=","Holiday Inn Express & Suites Victoria-Colwood, an IHG Hotel","Standard Room with Two Queen Beds","West Shore, Victoria","2 nights, 2 adults","CAD 478","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/462597290.webp?k=fa21f97bb5111d42cc43eac647bcd4579d39b92e213898843c7fcee8d8192b66&o=","Holiday Inn Victoria - Elk Lake, an IHG Hotel","Standard Queen Room with Two Queen Beds and Pool View","Victoria","2 nights, 2 adults","CAD 462","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/48319496.webp?k=b099637776a059edf0f965587cccf7aec9e6ffed57fbc80d1147477fc7d9af0f&o=","The Embassy Inn","Queen Room","Downtown Victoria, Victoria","2 nights, 2 adults","CAD 634","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/260928793.webp?k=5b9dee69d1bddccbeaec8a9e72471f10486e614777fcb2a845937cdfb47f7fb9&o=","Abbeymoore Manor","Standard Quadruple Room","Rockland, Victoria","2 nights, 2 adults","CAD 518","9.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/281177096.webp?k=7e81beb84a1a7403154e06833b080ebf8baf8bd5cfdfb473e6fea26d9d6b568d&o=","Strathcona Hotel","Queen Premium with City View","Downtown Victoria, Victoria","2 nights, 2 adults","CAD 634","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/441525627.webp?k=063a59829c8c14d092e52ae183a48bdd483a90753ba6fe3bc6c677a168f8f6e4&o=","The Vic, Ascend Hotel Collection","King Room - Non-Smoking","Burnside, Victoria","2 nights, 2 adults","CAD 478","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/482951267.webp?k=3a2b482b8b2f8dc18de8c8400fbf7b19a1c088520ec37d441d76efb8b8174e60&o=","Sandman Hotel Victoria","Standard Room, 1 Queen Bed","Burnside, Victoria","2 nights, 2 adults","CAD 545","7.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/426597002.webp?k=c323f57910286d14c163eb36feff449690477453073ddddf500a13ab7d974983&o=","Victoria Marriott Inner Harbour","Superior Room, 1 King Bed, Nonsmoking","Downtown Victoria, Victoria","2 nights, 2 adults","CAD 704","8.1"
