"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/167232177.webp?k=d1f4daca33cd9103bed145065f1954971770cd5e7914345f5468c8b4937d18f3&o=","Macdonald Windsor","Standard Double Room","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 592","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/505791435.webp?k=93351f4c1e525f1918b342ca3842567f4bb8a8ede77ad93f0af8ac645c816a45&o=","Delta Hotels by Marriott Heathrow Windsor","Deluxe Double Room","Windsor","2 nights, 2 adults","CAD 557","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/544813010.webp?k=b45e77cb9a5dad955fc646ba88f4ae9740e8d361bfe1a5fed1c974bd79c68d6e&o=","Charles House - Windsor Castle","Standard Double Room","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 320","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/574456688.webp?k=41446e17bb4d13caba37df4c5dad647538f9eba795d5fcea52ba53ed424b107a&o=","Holiday Inn Express Windsor, an IHG Hotel","Standard Double Room","Windsor","2 nights, 2 adults","CAD 466","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/101150426.webp?k=23865f4b9f236c43e74dc673071520bc570e98d127f8180e6cfd6a09f5011a35&o=","Sir Christopher Wren Hotel","Double Room","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 495","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/412071512.webp?k=32a880350dd900af49914167860ef1fc8976f1b54f20eb2175d9cb4c3446b23f&o=","The Christopher Hotel, Eton","Small Double Room","Windsor","2 nights, 2 adults","CAD 557","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/228352616.webp?k=34ef7356034924a0edb393a46a8d66248599ceada2c7fe323eff0bba9cb36ef6&o=","Castle Hotel Windsor","Standard Double Room","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 679","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/409257295.webp?k=4890d1d2999bb16d3bc7da10511a77acea05fc0e4dd250c78f2738896431c5a9&o=","The Royal Adelaide Hotel","Small Double Room","Windsor","2 nights, 2 adults","CAD 601","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/13667864.webp?k=053cc9c101e777b82a5238e4d2006353e9feb7bc2fd98c6ce1a0782540dbdced&o=","De Vere Beaumont Estate","Double Room","Windsor","2 nights, 2 adults","CAD 560","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/481049813.webp?k=32ed70f76bd29b2894147e112c7315eaef3602ba7cc5d228161a8fcfd70bede5&o=","The Winning Post","Double Room with Garden View","Windsor","2 nights, 2 adults","CAD 480","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/552279230.webp?k=7c940e72f5590a1989f3eb5063e7a2ca02d42720d4c8aeff1975b6beb272dfaa&o=","Harte and Garter Windsor","Small Double Room","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 326","4.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/245045272.webp?k=d79bafb37a44403e8b820cab7265e5eb906142d4780a7d891c4b1797325cd082&o=","Urban Living's ~ King Edward Luxury Apartments in the heart of Windsor","Two-Bedroom Apartment","Windsor","2 nights, 2 adults","CAD 739","9.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/536816339.webp?k=200b9e6bdaf06b89f96175335a1ec07682315f56d1e055c906858b6bd9989cc4&o=","Fairmont Windsor Park","King Eaves Room","Windsor","2 nights, 2 adults","CAD 1,299","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/387495162.webp?k=9e1f30167dfe7778716b0bf37332bc41d2aa0e14aa8caea21d15ff3bc417dfe3&o=","Urban Living's - Windsor Castle Luxury Apartments","Penthouse Apartment","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 858","9.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/9862379.webp?k=c27da41b2af083ae4d8c158b7a7c0ea47856d2a5bc13bbe22ae68773be09c13a&o=","Bluebell House","King Room with Garden View","Windsor","2 nights, 2 adults","CAD 341","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/541292992.webp?k=bdf92257f2c8f8dd511b1979beb486703b3e0c104a3087a9fb31f78fb27dd479&o=","Cosy Windsor Luxury Studio","Apartment with Garden View","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 348","9.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/530543611.webp?k=16628c39f2fb1d6b677eeb6a7dc2346bb5c93ed062282dc30068c4e83bef9b22&o=","Goswell House","Standard Double Room","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 466","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/260568898.webp?k=ce10ba6c16353f62a2cfcf77733195a0a3b90c917ed08896ace388b328e8a798&o=","Park Farm","Budget Double Room","Windsor","2 nights, 2 adults","CAD 489","9.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/398389221.webp?k=97e082b4cde3b0107d8755bfc4c6a73a06c87a945cd33c7f493655f116f24bd1&o=","Gilbey's Bar, Restaurant & Townhouse","Deluxe Suite","Windsor","2 nights, 2 adults","CAD 977","9.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/256863323.webp?k=e2404d38d330799cacbeaaddaef7ead132677df5041b1f8ae6c75fc5ab562d0a&o=","Beautifully Boutique 4 Sleeper Eton High Street","One-Bedroom Apartment","Windsor","2 nights, 2 adults","CAD 471","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/319663995.webp?k=0efa33ffd3aaa6cd4f0543d88fa5a496884f20e4aa832fa7a2bdc6bd40c8f12a&o=","Windsor Town Centre Victorian townhouse sleeps 6","Two-Bedroom House","Windsor","2 nights, 2 adults","CAD 815","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/331005505.webp?k=5612c2ea02a7fa514018da8638e0e0719c53f6ad3060a2f222a6736e63555d8e&o=","Hampden Apartments - The Anne","One-Bedroom Apartment","Windsor","2 nights, 2 adults","CAD 551","9.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/520511226.webp?k=27321ece0395cd24fc7d0c749a1c1e0f11e30f7e947237711b3ac715f7ed9e10&o=","Charming 1BR Apartment Near Windsor Castle","One-Bedroom Apartment","Windsor City Centre, Windsor","2 nights, 2 adults","CAD 427","9.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/335329517.webp?k=2cfb6252f079235d755adcf3ea07bc85e19a516421a5b1592fe13cb7d47fe7fc&o=","Urban Living's - The King Edward I Luxury Apartment in the Heart of Windsor","One-Bedroom Apartment","Windsor","2 nights, 2 adults","CAD 942","8.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/550612243.webp?k=4b38c5eb54ec718070631a883304be308a482ed12e84b5d1b979be94d620cf57&o=","Hotel Manor - Datchet, Windsor","Deluxe Double or Twin Room","Windsor","2 nights, 2 adults","CAD 424","6.3"
