"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/276321801.webp?k=408803deb4e8837800f05b4f04ab64b88b072e4fc595ea89bd072eba46ec78df&o=","Canad Inns Destination Centre Club Regent Casino Hotel","2 Queen Bed Room","Winnipeg","2 nights, 2 adults""https://cf.bstatic.com/xdata/images/hotel/square600/465575168.webp?k=d310e5818f8533b4cd027796083d958401da5c95e954fba84210fdf05711d5a4&o=","Four Points by Sheraton Winnipeg South","Guest room, 2 Queen","Fort Gary, Winnipeg","2 nights, 2 adults","CAD 378","7.6"
"https://cf.bstat"https://cf.bstatic.com/xdata/images/hotel/square600/521209695.webp?k=3e5c975f7717af683a17cfa146acaeba32fd30d77b9fb5e6a9ff37727a55c300&o=","Radisson Hotel Winnipeg Downtown","Queen Room - Non-Smoking","Downtown Winnipeg, Winnipeg","2 nights, 2 adults""https://cf.bstatic.com/xdata/images/hotel/square600/235009352.webp?k=571b4de39dca4c146aaa67ca82cb189de3b739128bb4ba2254d8e625d175825d&o=","Holiday Inn Express Winnipeg Airport - Polo Park, an IHG Hotel","Standard Room with Two Queen Beds","Winnipeg","2 nights, 2 adults","CAD 310","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/276321801.webp?k=408803deb4e8837800f05b4f04ab64b88b072e4fc595ea89bd072eba46ec78df&o=","Canad Inns Destination Centre Club Regent Casino Hotel","2 Queen Bed Room","Winnipeg","2 nights, 2 adults","CAD 245","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/297115959.webp?k=2d9b20a891916566ec5bbdc3973b271659d26c5a35d0b42eb5c9f49c2a0bcce3&o=","Best Western Plus Winnipeg Airport Hotel","Queen Room - Non-Smoking","Winnipeg","2 nights, 2 adults","CAD 287","7.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/138172293.webp?k=c3ad75fbbd98b79f72cdb786888195668d2e07ca5410d7df0351f4cdd79d666e&o=","Travelodge by Wyndham Winnipeg East","Queen Room - Non-Smoking","Winnipeg","2 nights, 2 adults","CAD 280","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/454920351.webp?k=190da4161bcdd138d0efb18d7e83bffacf84829c61c25ee56acf32feb0160088&o=","Sandman Hotel & Suites Winnipeg Airport","Standard Room, 2 Double Beds","Winnipeg","2 nights, 2 adults","CAD 293","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/252286870.webp?k=53f791652efa6cc293d26ae3be782e0069b205ec3bf57546fa519d5ad1056a08&o=","Lakeview Signature, Trademark Collection by Wyndham","Queen Room with Two Queen Beds - Non-Smoking","Winnipeg","2 nights, 2 adults","CAD 287","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/276417696.webp?k=e5d8886adad7e69e723080b9358e47269f0c90829912d423052c3bf08f6654ea&o=","Comfort Inn South","Double Room with Two Double Beds","Fort Gary, Winnipeg","2 nights, 2 adults","CAD 268","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/170450234.webp?k=6ea957da92a30e3b43488ad1f34607b7ce7647c94a203706a5f2118655edTwo Queen Beds","Winnipeg","2 nights, 2 adults","CAD 230","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/138172293.webp?k=c3ad75fbbd98b79f72cdb786888195668d2e07ca5410d7df0351f4cdd79d666e&o=","Travelodge by Wyndham Winnipeg East","Queen Room - Non-Smoking","Winnipeg","2 nights, 2 adults","CAD 280","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/493372379.webp?k=e649674780c8601dfb7b2f656af38fbe2efdfc482a44268b19047d71c69db76d&o=","Fairmont Winnipeg","Fairmont Double Room with City View","Downtown Winnipeg, Winnipeg","2 nights, 2 adults","CAD 385","7.3"
"https://cf.bstatic.c43","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/283913500.webp?k=2e8727f7a3c7f1641f6f2350f1a679a384d30bb9d8561740e2d79588dd5101c0&o=","Park West Inn","Queen Room with Two Queen Beds","Winnipeg","2 nights, 2 adults","CAD 230","7.9"
"https://cf.bstatic.com/xdata/images/hotel/square600/493372379.webp?k=e649674780c8601dfb7b2f656af38fbe2efdfc482a44268b19047d71c69db76d&o=","Fairmont Winnipeg","Queen Room with City View","Downtown Winnipeg, Winnipeg","2 nights, 2 adults","CAD 385","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/210469927.webp?k=faa66637a5fccfe686f28830a20b2ceab253f3cbfed65b48ad94991789790d3c&o=","Humphry Inn and Suites","King Room","Downtown Winnipeg, Winnipeg","2 nights, 2 adults","CAD 308","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/541740405.webp?k=6cb93df6194b445c29ad652127f4ea755a61d18756e868664f4205db1fe69cd7&o=","Hilton Garden Inn Winnipeg South","King Room","Winnipeg","2 nights, 2 adults","CAD 391","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/247041533.webp?k=e6318cbcbfdced3e2be0dcff281c31551d567eeae7708d9a3aad0d0d46eb4c2a&o=","Holiday In&o=","Hilton Garden Inn Winnipeg South","King Room","Winnipeg","2 nights, 2 adults","CAD 391","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/400055379.webp?k=534e28954e6ca560f1cc22948c08dac640747ae95258cf2a7d4f9cf33bcca200&o=","Best Western Plus Pembina Inn & Suites","Queen Room with Two Queen Beds - Non-Smoking","Fort Gary, Winnipeg","2 nights, 2 adults","CAD 344","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/276417696.webp?k=e5d8886adad7e69e723080b9358e47269f0c90829912d423052c3bf08f6654ea&o=","Comfort Inn South","Double Room with Two Double Beds","Fort Gary, Winnipeg","2 nights, 2 adults","CAD 268","7.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/578142146.webp?k=88e0a015ea51c1c62ee50219debc3dbbdc1de0055f6b123d72b70ab0762d9035&o=","Chalmers stay","Family Room","Winnipeg","2 nights, 2 adults","CAD 122","-"
"https://cf.bstatic.com/xdata/images/hotel/square600/275198548.webp?k=ada382c30817fd78802a7f0e38a7cbae7445fd346b39ab8c740dc675ef5f3e66&o=","Holiday Inn & Suites Winnipeg Downtown, an IHG Hotel","Standard King Room","Downtown Winnipeg, Winnipeg","2 nights, 2 adults","CAD 270","6.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/247041533.webp?k=e6318cbcbfdced3e2be0dcff281c31551d567eeae7708d9a3aad0d0d46eb4c2a&o=","Holiday Inn Winnipeg - Airport West, an IHG Hotel","Standard Room with Two Queen Beds","Winnipeg","2 nights, 2 adults","CAD 293","8.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/409898930.webp?k=cceb97331dfac88261a868f5d750896f333f208928484fcf3efa3f284a974bdd&o=","Wyndham Garden Winnipeg Airport","1 King Bed, Hearing Accessible Room, Non-Smoking","Winnipeg","2 nights, 2 adults","CAD 329","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/170451933.webp?k=deb995acc7fde0e0cb2186cadf691f5f79d21a2fe0c2e34d74e8ed46aa17ee6a&o=","Econo Lodge Winnipeg South","Queen Room with Two Queen Beds - Non-Smoking","Winnipeg","2 nights, 2 adults","CAD 260","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/279528998.webp?k=f7c6948aaa78f147421086f68c6ce8a391238cf5ce6135aa36cbc36ebb137dc1&o=","Hyatt House Winnipeg South Outlet Collection","King Room","Winnipeg","2 nights, 2 adults","CAD 398","8.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/135463664.webp?k=4a25e09ba7c821b591240b8d215ce926c5829ba1e09420a628cf384594272829&o=","Days Inn & Suites by Wyndham Winnipeg Airport Manitoba","King Room","Winnipeg","2 nights, 2 adults","CAD 320","7.6"
"https://cf.bstatic.com/xdata/images/hotel/square600/482908210.webp?k=ce9d0cd336ef8c0b4b953a17664ccec6a662c49c963fc418b522d3aade6bab32&o=","MainStay Suites Winnipeg","Queen Suite","Winnipeg","2 nights, 2 adults","CAD 298","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/55282503.webp?k=f173446b187e27fa9ad9202485dfed0453fae54d4d71f4cbf4ee5c871cd3571b&o=","Assiniboine Gordon Inn on the Park","Economy Queen Room","Winnipeg","2 nights, 2 adults","CAD 210","6.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/274351411.webp?k=26237a117bf36e0fe8ae23deccbe2f5a89e4b91fb41cb161ac257e46b4657c86&o=","Comfort Inn Airport","Double Room with Two Double Beds","Winnipeg","2 nights, 2 adults","CAD 259","6.8"
"https://cf.bstatic.com/xdata/images/hotel/square600/5"https://cf.bstatic.com/xdata/images/hotel/square600/267852080.webp?k=56e66792dd55bff648bb65ce5fa119d94eb3a4622624f3a477a7843869daca12&o=","The Fort Garry Hotel Spa and Conference Centre, Ascend Hotel Collection","King Room - Non-Smoking","Downtown Winnipeg, Winnipeg","2 nights, 2 adults","CAD 433","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/409898930.webp?k=cceb97331dfac88261a868f5d750896f333f208928484fcf3efa3f284a974bdd&o=","Wyndham Garden Winnipeg Airport","1 King Bed, Hearing Accessible Room, Non-Smoking","Winnipeg","2 nights, 2 adults","CAD 329","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/578142146.webp?k=88e0a015ea51c1c62ee50219debc3dbbdc1de0055f6b123d72b70ab0762d9035&o=","Chalmers stay","Family Room","Winnipeg","2 nights, 2 adults","CAD 122","-"
"https://cf.bstatic.com/xdata/images/hotel/square600/281570076.webp?k=359901bcd028a5befbdca2051394d6792f1f264b62e905046858f764b7107235&o=","Canad Inns Destination Centre Polo Park","Standard King Room","Winnipeg","2 nights, 2 adults","CAD 336","7.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/96251527.webp?k=b3472aba9deeb2f87ed50e9cdce063da30b2e17aa2b00a6217c39c74d4cedde9&o=","Alt Hotel Winnipeg","Queen Room","Downtown Winnipeg, Winnipeg","2 nights, 2 adults","CAD 368","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/42840566.webp?k=ec79d1bcf37308d492835564934f9341c5297446a1353c1b11cf8a4be4eeaa57&o=","The Cavalier Inn","Standard Queen Room","Winnipeg","2 nights, 2 adults","C"https://cf.bstatic.com/xdata/images/hotel/square600/267852080.webp?k=56e66792dd55bff648bb65ce5fa119d94eb3a4622624f3a477a7843869daca12&o=","The Fort Garry Hotel Spa and Conference Centre, Ascend Hotel Collection","Double Room with Two Double Beds - Non-Smoking","Downtown Winnipeg, Winnipeg","2 nights, 2 adults","CAD 433","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/281570076.webp?k=359901bcd028a5befbdca2051394d6792f1f264b62e905046858f764b7107235&o=","Canad Inns Destination Centre Polo Park","Standard King Room","Winnipeg","2 nights, 2 adults","CAD 336","7.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/582503811.webp?k=aeb45127767d70a823882186e75b3683d8afbadebd59c4b973c641df402b8e90&o=","Sunset Chalet in Bridgewater","One-Bedroom Villa","Fort Gary, Winnipeg","2 nights, 2 adults","CAD 378","-"
